Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd
E_S_WWC_WM_47,10.586,-3.06863,6.85358,-18.4379,-1.18,-1.54,0.172799,7.72743,-9.71761,-89.8343,-5.13467,0.4,6.1631,0.1,-12.6768,21.9867,18.1287,14.9076,18.866,21.4672,98.16,-17.9835,-151.397,0.2436138983687708,0.0050191277543007
E_S_WWC_WM_48,13.1353,-3.17759,-3.62932,-10.8834,-1.4,0.53,-1.05702,0.906423,-8.4606,99.4931,2.9379,0.0,4.65805,0.9,59.0362,20.1422,23.6412,-10.129,-26.6007,1.80785,68.4703,28.1708,-110.053,0.2516700633322258,0.0046864204806715
E_S_WWC_WM_49,-6.47263,-2.27331,-4.8019,9.51063,0.02,1.31,-4.53625,2.92604,-11.8498,46.1676,1.74299,0.0,-22.2846,-0.4,9.76643,2.4151,26.1902,-4.40516,103.569,-12.8859,143.377,35.5504,81.3644,0.2679816780830564,0.0034836949440418
E_S_WWC_WM_50,13.1866,6.86028,-7.15801,-15.4808,-0.03,0.27,8.00245,-1.61839,-45.7607,-28.51,-12.5634,0.1,-2.53864,0.4,32.711,-1.30711,-10.7582,-24.9415,-9.08559,-27.62,142.257,25.6693,126.022,0.2769266769036545,0.0104866840177203
E_S_WWC_WM_51,4.01519,-5.17871,9.9764,14.6998,0.75,-1.12,-7.25578,6.66055,14.937,56.5993,-3.55548,-0.4,-14.0758,0.8,23.2965,11.1949,-26.2913,-17.0343,55.5281,28.2908,39.3032,-48.7666,-75.2615,0.2395729296511628,0.0052270151289201
E_S_WWC_WM_52,-7.3255,13.7218,-0.10001,12.7009,-0.36,-1.73,11.9752,-2.93264,-39.5568,-62.4354,-5.47794,0.2,1.67228,0.4,22.2709,23.3945,-9.44041,36.2512,42.9624,-32.4435,99.9447,33.379,40.6988,0.2937630420299003,0.0112571194438933
E_S_WWC_WM_53,-3.64647,12.2774,17.5403,-10.1617,-0.27,1.76,0.0795703,5.46766,-46.3118,-20.174,-10.4429,-0.1,7.02043,1.0,14.9939,0.220742,-9.06121,-0.262679,-25.0496,-45.638,90.2659,23.4909,-123.175,0.2754166066212625,0.0088523021105917
E_S_WWC_WM_54,7.23519,5.00815,5.29618,15.6346,2.35,-1.2,9.60067,-1.66975,45.725,130.283,-6.03981,0.5,21.5184,0.8,0.114685,-6.0692,-5.34398,4.68908,46.7184,1.38409,-16.0296,-6.36975,-183.844,0.2803635338106312,0.0100467587137195
E_S_WWC_WM_55,12.4013,-0.50122,12.74,-13.594,0.63,-1.79,-2.78322,-4.89761,16.9014,-46.6596,-6.16182,-0.1,18.6064,-0.2,18.3195,-8.04703,-29.8139,30.1461,94.8608,-13.2493,37.9308,13.4241,58.1358,0.2526494585215947,0.0068885429813709
E_S_WWC_WM_56,-6.24734,7.41232,12.3098,16.6153,1.87,2.26,-9.07096,6.85233,1.71822,37.4139,-13.1425,0.0,17.5322,0.0,12.3103,10.3053,18.2868,9.87419,-46.2112,-21.0715,86.0909,-10.1085,99.8328,0.2955565224385381,0.0057937530309969
E_S_WWC_WM_57,-6.59056,4.15602,19.7971,7.56929,1.23,-1.27,2.69672,1.44711,46.2466,-35.3888,-9.27697,0.0,-11.2729,0.3,42.0806,-13.5381,-22.835,0.364613,-8.95169,14.6786,47.1837,9.03106,31.1657,0.2707770897408638,0.0034716633227842
E_S_WWC_WM_58,-6.11757,6.30253,17.3038,-0.378287,0.7,-1.36,18.1307,4.59013,-10.1092,-94.2002,0.642532,0.4,13.7363,0.0,6.3967,-12.4803,1.98219,50.8957,59.1773,-24.3542,149.105,25.7586,62.9305,0.283624525847176,0.0046557721622029
E_S_WWC_WM_59,-0.357469,14.6727,5.76662,-3.63019,-0.81,-0.01,9.15566,4.4852,-43.0258,76.493,2.64218,0.2,-5.88143,0.0,-15.3336,7.1754,19.3879,31.6547,44.44,-47.0876,82.6484,-41.0648,115.332,0.2944190739302325,0.0125436509283617
E_S_WWC_WM_60,-6.56367,2.10049,5.86238,15.3968,-0.98,-0.45,14.6135,-1.01507,16.5428,-12.7665,-8.88751,0.6,21.9739,0.2,53.4411,0.465897,25.9499,30.68,101.178,-44.4566,10.3986,60.6053,-81.1225,0.2693154926910299,0.00511098299465
E_S_WWC_WM_61,-2.52446,6.54768,-6.79629,-8.21326,0.72,2.29,7.12814,5.32154,-5.2707,43.7109,-0.158323,0.7,-20.8346,0.9,-5.0717,7.33804,26.2357,38.2728,94.062,-14.486,41.3639,-13.7097,-131.571,0.2830609066378737,0.0080563642600054
E_S_WWC_WM_62,14.8888,4.22421,-6.35709,-9.32652,-1.33,0.56,16.0711,5.42122,-17.0587,58.3152,-7.85074,0.3,-2.58788,-0.3,-21.4003,13.2993,-25.3382,27.0356,43.3021,44.6226,44.9152,1.65151,-18.2927,0.2811164015049834,0.0104051092187963
E_S_WWC_WM_63,12.6839,13.3778,3.06457,0.627791,1.36,1.95,-0.733007,2.59004,27.5606,-73.321,-8.51475,0.0,-24.464,-0.4,-19.6094,15.4381,-1.78252,32.4885,20.4083,23.5325,98.627,72.8517,-23.0121,0.2881147589867109,0.0061644189114695
E_S_WWC_WM_64,11.485,8.1871,-0.156867,-11.5463,-0.93,1.87,14.0106,-0.66019,49.5735,97.251,-13.8515,0.7,-6.80451,0.0,38.2047,-11.2895,23.0647,-21.2877,44.8577,-19.1987,79.9161,42.4568,-77.8813,0.2812729832325581,0.0076733296046816
E_S_WWC_WM_65,-2.21213,6.16382,4.15309,-7.50774,-0.8,-0.48,-4.76959,6.99778,2.80278,-89.0215,1.07315,-0.3,-24.929,0.8,2.24076,18.1055,-18.5878,43.1085,40.7519,18.2405,50.4784,21.5445,-193.562,0.2788041901495016,0.0093011619468606
E_S_WWC_WM_66,4.51894,10.9343,-7.47713,-9.2503,0.19,2.22,11.2614,-0.698839,-45.3066,-49.1283,2.97433,0.7,-19.5915,0.1,35.9741,24.5449,20.2293,1.68866,-11.5411,0.604939,58.5519,21.3611,-11.5565,0.2638514746013289,0.0064016723598041
E_S_WWC_WM_67,3.13035,13.9033,8.97893,2.56593,0.45,-1.06,-5.37821,3.33305,5.65822,133.231,-2.16327,0.7,15.4891,0.7,-1.2304,26.9475,3.11821,22.3623,123.199,36.0278,112.34,-46.073,-84.0097,0.2860776523189368,0.0081816586290933
E_S_WWC_WM_68,9.87846,8.05626,2.21081,0.639528,1.62,-0.03,-1.48428,-0.877639,-49.193,-50.1428,-5.32869,0.2,14.2774,0.3,59.3543,27.3883,-3.12102,-1.9036,-45.6924,-49.9954,55.6087,19.2952,-118.633,0.258078437461794,0.0055239338930205
E_S_WWC_WM_69,2.03537,-1.27814,5.07765,3.97372,-0.08,1.27,10.1716,-0.242565,38.0219,-38.8581,4.37208,0.0,-11.5868,0.3,50.8495,27.7962,14.584,10.2101,-57.7769,32.5931,126.936,-17.4389,147.641,0.2476996417475083,0.0063245955225938
E_S_WWC_WM_70,8.72771,0.386117,-4.72255,3.60531,-0.35,-0.82,7.66716,-2.91352,33.0237,-19.3397,-7.65598,0.8,22.8683,-0.2,-24.9286,26.8499,-13.5425,37.8178,96.3386,24.4549,-7.63838,2.94371,-152.187,0.2698894219003322,0.0097044750971939
E_S_WWC_WM_71,4.25003,-7.55522,7.46641,-4.67531,1.72,-0.06,10.0909,9.02932,-4.0351,-77.7737,-1.01156,0.6,15.1071,0.5,46.9526,14.8579,19.365,-19.0879,107.733,-3.15975,-31.7377,-44.6455,-109.202,0.2411812445016611,0.0051472119060207
E_S_WWC_WM_72,13.6084,-7.41645,0.0805201,-11.3502,-0.42,-1.51,11.9995,7.67686,17.8542,66.1305,-11.68,0.8,3.67481,0.4,22.7503,-15.413,9.21934,51.0981,-1.62809,4.7092,123.629,75.5029,54.7768,0.2716974550764119,0.0052979730892023
E_S_WWC_WM_73,2.01438,-7.32506,5.55751,-13.2253,0.3,-1.47,4.87846,-2.87182,-35.1851,28.5261,-6.08725,0.5,-23.229,-0.4,-19.9655,15.7432,1.18185,-1.78316,96.9013,15.2236,81.848,54.518,-195.349,0.2441852698637873,0.005019727226864
E_S_WWC_WM_74,-3.46887,6.25249,-1.94452,8.47689,1.3,0.99,14.5273,2.53469,10.4233,113.506,-3.05542,0.0,5.73974,0.2,-24.3128,28.2051,6.51221,42.2534,83.2855,-11.7011,121.367,88.5682,135.814,0.2922290783222591,0.0094011892416338
E_S_WWC_WM_75,13.364,11.8674,14.343,15.5196,-0.78,1.33,9.54025,6.6148,31.6496,113.997,-8.91446,-0.3,-5.66098,0.9,19.0981,0.144484,29.7656,1.83801,0.4319,19.8305,-0.329092,82.4501,-13.5497,0.2868769017308969,0.0072998184800549
E_S_WWC_WM_76,6.98398,8.41772,-6.37973,-7.61462,0.39,0.44,16.9043,7.85563,-42.583,74.4945,-6.50598,0.6,-10.5228,-0.3,38.5593,-17.8447,-8.36349,-14.9002,120.504,-39.6603,125.481,-19.9316,-111.395,0.2723618305116279,0.0096420879066196
E_S_WWC_WM_77,-1.52524,-6.94967,14.4003,-12.0162,-1.09,1.52,17.1326,1.49856,29.6766,-19.5455,-8.68466,-0.1,-17.9867,0.0,-15.1129,4.5303,3.07641,24.2571,90.3981,-8.20921,146.432,82.0547,-156.493,0.2526409160099668,0.0070786717650878
E_S_WWC_WM_78,10.5341,4.73333,-6.98621,-0.651179,-0.18,2.24,15.0838,-3.42787,-32.0541,141.069,-3.91464,0.1,-24.9264,0.1,24.8546,-14.3121,-2.88566,20.7781,48.8926,-34.4377,31.5284,-10.9906,83.5642,0.2858089309568106,0.0038405367295243
E_S_WWC_WM_79,9.44002,2.70905,-6.56008,3.07793,0.21,2.21,-6.01023,-1.90773,-22.051,61.5226,-5.79173,0.6,-0.218052,-0.4,-3.91867,23.1629,-12.4623,4.92562,-46.7934,4.74663,-58.1035,80.0676,-48.5334,0.2928421002790697,0.0116122876896349
E_S_WWC_WM_80,-0.730784,-6.06324,13.098,-15.7196,1.7,-0.49,-3.71549,8.54309,44.4495,-56.6598,-7.52675,0.2,-19.1725,0.0,-4.85982,-10.6672,3.72991,43.8311,85.4465,24.6815,10.597,-40.1516,61.6875,0.2646177780498339,0.0073932649515486
E_S_WWC_WM_81,-5.58072,11.2912,0.876975,-2.68092,2.38,1.56,7.9656,7.19071,-20.7554,-52.8942,4.87345,-0.4,-6.96454,0.7,2.37074,5.81572,-22.79,16.16,115.754,15.0011,-18.2984,-1.63761,63.1587,0.2621019991063123,0.0068069238349306
E_S_WWC_WM_82,5.02169,3.47633,11.484,-8.35168,-1.03,-1.8,-5.9384,6.55532,27.6449,-42.4613,-12.4612,0.7,12.0938,1.0,-0.410378,5.62955,-12.038,13.4251,17.954,38.3217,62.6375,-58.4115,145.119,0.2732358416877076,0.0098361046248441
E_S_WWC_WM_83,2.56111,-4.42296,-3.91754,13.4195,-0.33,-0.69,15.7949,-2.68854,-34.5179,-37.628,-0.51302,-0.2,7.49976,0.6,-5.61959,-17.4621,19.6548,28.1542,101.609,41.238,103.623,40.5237,42.1215,0.242502841192691,0.0055176611767984
E_S_WWC_WM_84,5.54365,-6.93043,3.20399,6.58543,-0.76,0.79,13.6346,5.85594,-9.24869,32.2258,-10.7593,0.0,20.677,0.5,58.9702,25.4316,2.33707,-0.545885,-3.76732,45.8004,132.781,-31.5236,-197.095,0.246450837538206,0.0099753494243643
E_S_WWC_WM_85,8.65745,-5.90353,18.2017,-13.4166,-0.86,1.83,-7.86963,-4.5334,14.8353,-27.3067,-3.65836,0.0,3.96711,0.7,31.4591,-6.91544,23.1783,32.2828,3.79462,40.3401,109.008,24.2438,101.381,0.2520512763754152,0.0073544316186263
E_S_WWC_WM_86,-0.527802,-2.36482,13.2854,-19.9174,2.07,1.08,-7.14646,-2.63363,17.2811,-25.1838,-11.1355,0.7,-11.3876,-0.3,-2.02852,-5.04874,27.3481,-2.34256,36.1635,-13.8963,47.8546,32.5952,-53.2464,0.2611459552458472,0.0081038504520481
E_S_WWC_WM_87,0.609382,6.42728,-6.42705,11.1239,2.06,-0.06,16.7411,-4.79008,34.4282,-66.9677,-1.5811,0.6,13.2393,0.6,-13.785,2.79919,-14.3899,-1.44597,90.9818,-32.8365,84.7291,33.1235,104.271,0.2465202944983389,0.0107138812684516
E_S_WWC_WM_88,12.4639,2.20918,19.663,11.7301,1.29,0.03,1.56286,-0.678109,18.5933,75.5718,1.95288,0.2,20.786,0.2,-0.329476,-2.50247,25.304,-23.2979,4.79,-1.99856,13.2233,76.5761,6.22801,0.2549814487906977,0.0045820903819918
E_S_WWC_WM_89,0.485376,-5.72543,-4.35052,-3.69877,-0.09,1.67,-8.97293,6.28443,-42.2904,-6.90594,3.70839,0.4,-11.0783,0.8,59.709,-13.4056,-11.9337,-7.09992,-9.33593,46.9032,43.3257,38.8595,-50.0596,0.2382212846279069,0.0039997384016174
