Experiment,B_Ramp_Angle,B_Diffusor_Angle,B_Trunklid_Angle,C_Side_Mirrors_Rotation,D_Rear_Window_Inclination,D_Winscreen_Inclination,C_Side_Mirrors_Translate_X,C_Side_Mirrors_Translate_Z,D_Winscreen_Length,D_Rear_Window_Length,E_A_B_C_Pillar_Thickness,G_Trunklid_Curvature,G_Trunklid_Length,H_Front_Bumper_Curvature,H_Front_Bumper_Length,F_Door_Handles_Thickness,F_Door_Handles_Z_Position,E_Fenders_Arch_Offset,A_Car_Length,F_Door_Handles_X_Position,A_Car_Width,A_Car_Roof_Height,A_Car_Green_House_Angle,Average Cd,Std Cd,Average Cl,Std Cl,Average Cl_f,Std Cl_f,Average Cl_r,Std Cl_r
E_S_WWC_WM_029,12.9335,8.96239,5.49599,17.6739,0.15,2.45,3.92436,2.1444,43.0641,142.531,4.43019,0.2,12.7643,0.4,-14.3892,-6.82119,-13.0547,46.9327,13.244,-19.0137,18.919,15.1001,41.3324,0.2867010565913621,0.007176939799614,-0.1209973540880398,0.0270570646204198,-0.0550935344900332,0.009620602181109,-0.0659038196199335,0.0232537695824833
E_S_WWC_WM_030,-1.57663,-2.75033,11.7988,10.1903,-1.53,1.81,-2.58923,-3.94171,-41.4857,-86.1915,-1.31163,0.3,-18.4758,0.0,43.6951,-0.32454,0.11858,41.5112,-31.6822,31.8473,33.2896,65.6668,-73.3159,0.2510808400830565,0.0061594885851523,-0.0394988455858671,0.0194580738460786,-0.1454741746810631,0.0118496668625786,0.1059753290744186,0.0217266481561673
E_S_WWC_WM_031,3.81305,-1.79022,8.72984,11.2146,1.77,-1.0,-4.26541,-3.63749,-29.0722,79.7044,1.89421,0.3,-21.1367,-0.1,-13.3246,-8.22371,19.9466,-22.0445,129.134,41.853,55.4154,-10.7594,-24.089,0.2508027695880399,0.0055053450213918,-0.1616248478538206,0.024635810739153,-0.1087219729152824,0.0097912643104167,-0.0529028749538206,0.0213620832783123
E_S_WWC_WM_032,11.1432,6.26811,7.28715,5.32752,0.58,1.68,-1.5856,-1.60328,-38.5537,85.767,-13.5788,0.2,-18.8025,0.7,-12.8077,-7.88592,13.2515,33.7888,26.3825,36.3101,-50.379,-47.325,-69.2458,0.2901886910299003,0.006568497577885,-0.122381705113289,0.019634616159194,-0.0477436974511627,0.0101754242587912,-0.0746380076498338,0.0234160529780999
E_S_WWC_WM_033,1.8435,10.6631,-2.94028,16.3777,0.41,1.33,8.10745,4.16714,4.18956,144.769,-7.92863,0.7,6.88863,-0.3,39.8712,11.6582,-19.5982,-1.13637,67.9503,43.2338,85.6384,17.8351,-191.452,0.2906880126478405,0.0061386335746109,-0.2119311038803986,0.0284828308936271,-0.124108113936877,0.0129155974921289,-0.0878229899392026,0.0267839412832516
E_S_WWC_WM_034,1.36342,-7.61369,11.5818,16.8202,-1.15,2.17,15.6385,2.42196,-25.7963,-28.8691,-5.94068,0.4,17.1042,0.1,-7.21598,22.4881,24.3591,-11.6597,116.992,20.3957,-18.7895,-41.9721,33.2938,0.2519676293222591,0.0067600163319592,0.0004513743545249,0.0125996053647347,-0.1085212281661129,0.0103392114949282,0.1089726024857143,0.0090294933755718
E_S_WWC_WM_035,2.95889,13.4543,19.5827,-0.305176,-0.68,-0.63,-1.52171,7.36683,-24.6629,-11.2609,-4.90479,0.3,-24.0775,0.0,22.2016,-6.99006,-3.55027,17.6741,126.329,43.8277,39.1891,57.9219,121.918,0.2753409111893687,0.0057395570487476,-0.0560367897734219,0.0148149532081648,-0.1150828081860465,0.0063561735018885,0.0590460184063122,0.0114272269924558
E_S_WWC_WM_036,4.04673,-1.2177,-6.75451,-2.77402,0.35,-0.13,-7.45434,0.219354,7.84573,109.751,-4.2957,-0.4,-7.20645,0.4,7.98313,18.2027,-10.41,-2.7223,37.5586,11.6634,94.173,67.1766,143.872,0.2762152280930232,0.0056238530155819,-0.239113133910299,0.0358829142141177,-0.1394332378372093,0.0113800938187915,-0.0996798960810631,0.029893731190926
E_S_WWC_WM_037,2.6654,10.373,1.41006,16.9873,0.99,-1.44,-9.34656,-3.08404,16.6036,-80.1042,0.421409,0.0,1.58647,0.5,33.4087,-13.8866,-16.3239,10.445,56.3836,-6.3394,116.304,88.1792,-179.803,0.265496949654485,0.0093096683584851,-0.0172454309399418,0.0353508536856616,-0.1113320710508305,0.0119988284362944,0.094086640067774,0.0369708012230073
E_S_WWC_WM_038,14.3719,3.99311,7.06808,-4.03165,0.01,1.47,-7.18599,0.754837,41.0307,-84.3797,-14.4357,0.2,-15.3478,-0.2,-0.0869685,-16.7486,-13.3455,-17.6351,89.1562,-22.4399,41.0008,63.0411,53.4,0.2647685547873754,0.0085480213037616,-0.1125176057126245,0.0252720881141066,-0.0618142699392026,0.0108138551672795,-0.0507033358015714,0.0251452095784989
E_S_WWC_WM_039,2.72894,2.04421,-0.724237,1.3463,-1.22,-0.69,0.903987,2.71796,-26.5129,30.1667,2.94954,0.8,9.36839,0.1,42.3273,29.7907,24.2171,-3.17335,109.759,28.4732,-1.97849,68.9509,92.6275,0.2480935349667773,0.005681074669457,-0.1655887977607973,0.0156805586752214,-0.1279734468970099,0.0076828289932234,-0.0376153508910192,0.0170832934224193
E_S_WWC_WM_040,11.3192,-3.5626,5.08488,-18.6151,-1.77,1.5,-2.86282,3.92401,-8.10225,73.4475,-8.03779,0.5,-1.6228,0.9,28.13,-19.9608,-5.11105,36.2583,114.399,-4.92039,83.4428,39.1905,136.714,0.2608057206046512,0.0078069595284763,-0.1794136088305647,0.0181581209029166,-0.101665096657475,0.0082087855178914,-0.077748512192691,0.0178349389440597
E_S_WWC_WM_041,3.94595,6.08096,14.1943,3.51466,2.0,-0.89,-9.96959,-0.812788,19.5231,-13.5135,-13.6464,0.2,13.0695,0.1,47.3756,-5.64847,27.2336,23.0463,106.746,22.6932,95.8385,31.1652,118.253,0.2800253694019933,0.0053796342835351,-0.0680708314119601,0.0182089901479182,-0.1267735200465116,0.007469826829961,0.0587026886352159,0.0174356325905883
E_S_WWC_WM_042,10.5997,-6.76392,11.9785,6.48823,1.95,-1.69,11.8859,7.93556,33.1547,22.9067,1.82854,0.5,0.529597,0.4,-17.1111,23.9532,-6.66621,-6.51723,65.5835,36.9325,34.3398,-1.10282,95.0328,0.248011900461794,0.003270695604411,-0.0133859780962049,0.0238134608448494,-0.0755969123146179,0.0096669500691778,0.0622109342149501,0.0215617403190828
E_S_WWC_WM_043,0.663193,7.45066,11.4032,2.03442,-1.49,-0.11,-2.50209,4.55267,-35.3988,59.2556,4.97848,0.1,-6.01359,1.0,24.3726,-11.657,10.4637,-15.046,32.8735,3.96813,149.036,73.8565,5.89736,0.2578649961594684,0.0046364555201272,-0.1713537513754152,0.0285519052555554,-0.1452486410531561,0.0093501548588833,-0.0261051103190718,0.0249203168891909
E_S_WWC_WM_044,14.9612,7.9281,11.9546,9.06811,1.79,1.03,13.9392,4.29414,-28.5944,9.11563,-10.9403,-0.4,-1.09465,-0.1,34.8682,21.0826,-2.06747,-8.5401,-59.2583,-41.8928,87.9634,72.913,111.681,0.2823859182990033,0.0066252211125859,-0.0983003062491694,0.0352516053038286,-0.0696061416963455,0.0086748568419508,-0.0286941645483122,0.0339410760384598
E_S_WWC_WM_045,-1.54275,8.26849,18.2613,-12.4759,-1.19,-0.61,7.41279,-4.74297,-35.9328,10.2517,-12.7692,-0.3,-13.7375,-0.1,31.9796,-6.21809,-27.3962,49.9202,-28.0778,-1.04761,-23.4102,6.48645,-1.24425,0.307436829654485,0.0114051889859537,-0.1001179272877076,0.0236865925552616,-0.1221928104694352,0.0153611054565873,0.0220748831728431,0.0240704205168054
E_S_WWC_WM_046,0.0703992,-1.65459,7.3471,5.6013,0.92,-1.59,-8.94106,7.38831,-38.2635,44.7179,-2.49146,0.8,3.00708,0.8,49.3001,16.154,24.2956,10.1017,-37.1721,-20.753,112.593,19.1285,76.8045,0.2498812300598006,0.0061124853500593,-0.1998073663388704,0.0150510289626348,-0.1549904288970099,0.0087134916728914,-0.0448169373953488,0.0140705607496259
E_S_WWC_WM_047,10.586,-3.06863,6.85358,-18.4379,-1.18,-1.54,0.172799,7.72743,-9.71761,-89.8343,-5.13467,0.4,6.1631,0.1,-12.6768,21.9867,18.1287,14.9076,18.866,21.4672,98.16,-17.9835,-151.397,0.2447062613654485,0.0066235343239514,-0.0951845080388704,0.0305918559113937,-0.0827566372870432,0.0091194554623892,-0.0124278707535249,0.0332696451087656
E_S_WWC_WM_048,13.1353,-3.17759,-3.62932,-10.8834,-1.4,0.53,-1.05702,0.906423,-8.4606,99.4931,2.9379,0.0,4.65805,0.9,59.0362,20.1422,23.6412,-10.129,-26.6007,1.80785,68.4703,28.1708,-110.053,0.2565005138305647,0.0047868227633151,-0.1956072170498339,0.0285035730936019,-0.0824581313382059,0.0107171644963935,-0.1131490857239202,0.0235228982876737
E_S_WWC_WM_049,-6.47263,-2.27331,-4.8019,9.51063,0.02,1.31,-4.53625,2.92604,-11.8498,46.1676,1.74299,0.0,-22.2846,-0.4,9.76643,2.4151,26.1902,-4.40516,103.569,-12.8859,143.377,35.5504,81.3644,0.2594336351760797,0.0060066460691872,-0.2019540171694352,0.0176256478229213,-0.2235697567209302,0.0077732851913153,0.0216157395025249,0.0154777964527353
E_S_WWC_WM_050,13.1866,6.86028,-7.15801,-15.4808,-0.03,0.27,8.00245,-1.61839,-45.7607,-28.51,-12.5634,0.1,-2.53864,0.4,32.711,-1.30711,-10.7582,-24.9415,-9.08559,-27.62,142.257,25.6693,126.022,0.263022041807309,0.0112371011909433,-0.2173321062325581,0.0341083409521601,-0.0946035695026578,0.0096865982593664,-0.1227285367282392,0.0273884981848787
E_S_WWC_WM_051,4.01519,-5.17871,9.9764,14.6998,0.75,-1.12,-7.25578,6.66055,14.937,56.5993,-3.55548,-0.4,-14.0758,0.8,23.2965,11.1949,-26.2913,-17.0343,55.5281,28.2908,39.3032,-48.7666,-75.2615,0.237771978578073,0.0043404679708603,-0.0785017867983388,0.0267672617373021,-0.0689631677757475,0.0109180079814557,-0.0095386190106504,0.0240369991001847
E_S_WWC_WM_052,-7.3255,13.7218,-0.10001,12.7009,-0.36,-1.73,11.9752,-2.93264,-39.5568,-62.4354,-5.47794,0.2,1.67228,0.4,22.2709,23.3945,-9.44041,36.2512,42.9624,-32.4435,99.9447,33.379,40.6988,0.2927586332358804,0.0055638418141741,-0.1344571664534883,0.0521599110340698,-0.1971362174518272,0.0096843395182747,0.062679051024485,0.0452998964778362
E_S_WWC_WM_053,-3.64647,12.2774,17.5403,-10.1617,-0.27,1.76,0.0795703,5.46766,-46.3118,-20.174,-10.4429,-0.1,7.02043,1.0,14.9939,0.220742,-9.06121,-0.262679,-25.0496,-45.638,90.2659,23.4909,-123.175,0.2685628702657808,0.009173417639598,-0.2515541346312292,0.0260411498590059,-0.1900679475249169,0.0080949386978893,-0.0614861871152956,0.0306619798796226
E_S_WWC_WM_054,7.23519,5.00815,5.29618,15.6346,2.35,-1.2,9.60067,-1.66975,45.725,130.283,-6.03981,0.5,21.5184,0.8,0.114685,-6.0692,-5.34398,4.68908,46.7184,1.38409,-16.0296,-6.36975,-183.844,0.2773807704518272,0.0063829858131356,-0.1776281775415282,0.018175561655679,-0.0697910432302325,0.0103210211993587,-0.1078371342887043,0.0168717336558728
E_S_WWC_WM_055,12.4013,-0.50122,12.74,-13.594,0.63,-1.79,-2.78322,-4.89761,16.9014,-46.6596,-6.16182,-0.1,18.6064,-0.2,18.3195,-8.04703,-29.8139,30.1461,94.8608,-13.2493,37.9308,13.4241,58.1358,0.2508668959269103,0.007432293591617,-0.1072533488465116,0.0254382118552797,-0.067712497472093,0.0087283449244517,-0.0395408513630647,0.0218647938730118
E_S_WWC_WM_056,-6.24734,7.41232,12.3098,16.6153,1.87,2.26,-9.07096,6.85233,1.71822,37.4139,-13.1425,0.0,17.5322,0.0,12.3103,10.3053,18.2868,9.87419,-46.2112,-21.0715,86.0909,-10.1085,99.8328,0.2871836939568106,0.0056159073982748,-0.262852647295681,0.0216566449859331,-0.2413725870365448,0.0056673961854219,-0.021480060268794,0.0190934679428692
E_S_WWC_WM_057,-6.59056,4.15602,19.7971,7.56929,1.23,-1.27,2.69672,1.44711,46.2466,-35.3888,-9.27697,0.0,-11.2729,0.3,42.0806,-13.5381,-22.835,0.364613,-8.95169,14.6786,47.1837,9.03106,31.1657,0.26449682720598,0.0098990640565861,-0.2047508462691029,0.0193874029824343,-0.2017752167740863,0.0108468267492904,-0.0029756295211444,0.0160194962444709
E_S_WWC_WM_058,-6.11757,6.30253,17.3038,-0.378287,0.7,-1.36,18.1307,4.59013,-10.1092,-94.2002,0.642532,0.4,13.7363,0.0,6.3967,-12.4803,1.98219,50.8957,59.1773,-24.3542,149.105,25.7586,62.9305,0.2751272268803987,0.0084062920547516,-0.0323592009601036,0.0242778987336288,-0.2019087799800664,0.0116299695175488,0.1695495789966777,0.0241069150408412
E_S_WWC_WM_059,-0.357469,14.6727,5.76662,-3.63019,-0.81,-0.01,9.15566,4.4852,-43.0258,76.493,2.64218,0.2,-5.88143,0.0,-15.3336,7.1754,19.3879,31.6547,44.44,-47.0876,82.6484,-41.0648,115.332,0.2967765699401993,0.0027634341610285,-0.0685864650159468,0.011493633130794,-0.117736690564784,0.0039164451033349,0.0491502255966777,0.0135558906486179
E_S_WWC_WM_060,-6.56367,2.10049,5.86238,15.3968,-0.98,-0.45,14.6135,-1.01507,16.5428,-12.7665,-8.88751,0.6,21.9739,0.2,53.4411,0.465897,25.9499,30.68,101.178,-44.4566,10.3986,60.6053,-81.1225,0.2589470263920266,0.0052524675362749,-0.2020241350365448,0.0204991625248959,-0.2012442426511628,0.0077421802224296,-0.0007798923814059,0.0151066325193384
E_S_WWC_WM_061,-2.52446,6.54768,-6.79629,-8.21326,0.72,2.29,7.12814,5.32154,-5.2707,43.7109,-0.158323,0.7,-20.8346,0.9,-5.0717,7.33804,26.2357,38.2728,94.062,-14.486,41.3639,-13.7097,-131.571,0.2959573201495017,0.0118864559241065,-0.2122244850199335,0.0506393018982916,-0.1315045880697674,0.0076212101738736,-0.0807198969369701,0.0540166843705492
E_S_WWC_WM_062,14.8888,4.22421,-6.35709,-9.32652,-1.33,0.56,16.0711,5.42122,-17.0587,58.3152,-7.85074,0.3,-2.58788,-0.3,-21.4003,13.2993,-25.3382,27.0356,43.3021,44.6226,44.9152,1.65151,-18.2927,0.2746050384717607,0.008255045893021,-0.1032286214056478,0.0327010558283457,-0.0510055278833887,0.0086127115542195,-0.0522230935130564,0.0320878092733947
E_S_WWC_WM_063,12.6839,13.3778,3.06457,0.627791,1.36,1.95,-0.733007,2.59004,27.5606,-73.321,-8.51475,0.0,-24.464,-0.4,-19.6094,15.4381,-1.78252,32.4885,20.4083,23.5325,98.627,72.8517,-23.0121,0.2810328731395349,0.0071868928346901,-0.0273956152149767,0.0480172724883244,-0.0908534618139534,0.0122910956151551,0.0634578466092059,0.0425932678804414
E_S_WWC_WM_064,11.485,8.1871,-0.156867,-11.5463,-0.93,1.87,14.0106,-0.66019,49.5735,97.251,-13.8515,0.7,-6.80451,0.0,38.2047,-11.2895,23.0647,-21.2877,44.8577,-19.1987,79.9161,42.4568,-77.8813,0.2791554347009967,0.006872817228423,-0.196922973089701,0.0146779373551322,-0.0791062525352159,0.0104544225363129,-0.1178167205491694,0.0178981904839157
E_S_WWC_WM_065,-2.21213,6.16382,4.15309,-7.50774,-0.8,-0.48,-4.76959,6.99778,2.80278,-89.0215,1.07315,-0.3,-24.929,0.8,2.24076,18.1055,-18.5878,43.1085,40.7519,18.2405,50.4784,21.5445,-193.562,0.2793140789966777,0.018179646640482,-0.1248743092239202,0.0151801164071433,-0.1568185371860465,0.0080298356255978,0.0319442279669103,0.0149238981348782
E_S_WWC_WM_066,4.51894,10.9343,-7.47713,-9.2503,0.19,2.22,11.2614,-0.698839,-45.3066,-49.1283,2.97433,0.7,-19.5915,0.1,35.9741,24.5449,20.2293,1.68866,-11.5411,0.604939,58.5519,21.3611,-11.5565,0.2492428705182724,0.0056895396697072,-0.0955936614578073,0.0265831398959811,-0.0956753084475083,0.014254520108104,8.16469973056491e-05,0.0160868738917244
E_S_WWC_WM_067,3.13035,13.9033,8.97893,2.56593,0.45,-1.06,-5.37821,3.33305,5.65822,133.231,-2.16327,0.7,15.4891,0.7,-1.2304,26.9475,3.11821,22.3623,123.199,36.0278,112.34,-46.073,-84.0097,0.2866743251295681,0.0095842358503245,-0.1818570641760797,0.02093580086581,-0.1033961274445182,0.0127574442553323,-0.0784609367069767,0.0160389195890751
E_S_WWC_WM_068,9.87846,8.05626,2.21081,0.639528,1.62,-0.03,-1.48428,-0.877639,-49.193,-50.1428,-5.32869,0.2,14.2774,0.3,59.3543,27.3883,-3.12102,-1.9036,-45.6924,-49.9954,55.6087,19.2952,-118.633,0.2538420667441861,0.0068606538138405,-0.1533560012661129,0.0347989239611873,-0.1028214745604651,0.0137648138290302,-0.0505345267016611,0.0311150053291913
